type,sectionName,webPublicationDate,webTitle,webUrl,date
article,World news,2023-10-21T20:26:20Z,Western leaders look to Qatar to get their citizens home,https://www.theguardian.com/world/2023/oct/21/western-leaders-look-to-qatar-to-get-their-citizens-home,2023-10-21
liveblog,World news,2023-10-22T04:37:50Z,"Strikes on Gaza to increase from today, Israeli spokesperson says – as it happened",https://www.theguardian.com/world/live/2023/oct/21/israel-hamas-war-live-biden-hostages-israel-gaza-ground-assault-border-crossing-palestinians-aid,2023-10-22
liveblog,World news,2023-10-23T02:32:27Z,Israel-Hamas war: second convoy of as 14 aid trucks enters Gaza – as it happened,https://www.theguardian.com/world/live/2023/oct/22/israel-hamas-war-live-gaza-strikes-to-intensify-israeli-military-says-west-bank-mosque-hit,2023-10-23
article,World news,2023-10-23T14:55:29Z,Hamas and Israel at war: what we know on day 17,https://www.theguardian.com/world/2023/oct/23/hamas-and-israel-at-war-what-we-know-on-day-17,2023-10-23
liveblog,World news,2023-10-24T03:21:19Z,Israeli military preparing ‘unrelenting attacks’ – as it happened,https://www.theguardian.com/world/live/2023/oct/23/israel-hamas-war-live-updates-airstrikes-gaza-aid-rafah-border-crossing-egypt-white-house-joe-biden-latest-news,2023-10-24
article,World news,2023-10-24T08:09:45Z,"Not the time for a ceasefire in Gaza, says US, with Hamas still holding hostages",https://www.theguardian.com/world/2023/oct/24/us-no-gaza-ceasefire-hamas-hostages,2023-10-24
article,World news,2023-10-24T15:20:29Z,Hamas and Israel at war: what we know on day 18,https://www.theguardian.com/world/2023/oct/24/hamas-and-israel-at-war-what-we-know-on-day-18,2023-10-24
article,World news,2023-10-24T15:43:01Z,France proposes widening anti-Islamic State coalition to fight Hamas,https://www.theguardian.com/world/2023/oct/24/france-proposes-widening-anti-islamic-state-coalition-to-fight-hamas,2023-10-24
liveblog,World news,2023-10-25T03:58:36Z,UN chief calls Gaza situation ‘dire’ – as it happened,https://www.theguardian.com/world/live/2023/oct/24/israel-hamas-war-live-news-conflict-biden-netanyahu-aid-gaza-hostages-latest-updates,2023-10-25
article,World news,2023-10-25T05:45:02Z,Wednesday briefing: Inside the battle to contain – and capitalise on – artificial intelligence,https://www.theguardian.com/world/2023/oct/25/wednesday-briefing-first-edition-artificial-intelligence-ai-summit-bletchley-park-rishi-sunak,2023-10-25
article,World news,2023-10-25T12:29:51Z,Hamas and Israel at war: what we know on day 19,https://www.theguardian.com/world/2023/oct/25/hamas-and-israel-at-war-what-we-know-on-day-19,2023-10-25
article,World news,2023-10-25T23:12:50Z,UN chief ‘shocked’ by ‘misrepresentation’ of comments in row with Israel,https://www.theguardian.com/world/2023/oct/25/israel-says-it-will-ban-un-staff-after-secretary-generals-comments,2023-10-25
article,World news,2023-10-25T23:53:10Z,Hamas and Israel at war: what we know on day 20,https://www.theguardian.com/world/2023/oct/26/hamas-and-israel-at-war-what-we-know-on-day-20,2023-10-25
liveblog,World news,2023-10-26T04:03:00Z,Netanyahu says war cabinet ‘working around the clock’ – as it happened,https://www.theguardian.com/world/live/2023/oct/25/israel-hamas-war-live-news-gaza-child-deaths-unicef-jenin-west-bank-strike,2023-10-26
liveblog,World news,2023-10-26T23:54:50Z,EU leaders reach agreement on Middle East – as it happened,https://www.theguardian.com/world/live/2023/oct/26/eu-leaders-summit-budget-middle-east-europe-latest-updates,2023-10-26
liveblog,World news,2023-10-27T04:07:06Z,EU leaders unanimously call for humanitarian corridors – as it happened,https://www.theguardian.com/world/live/2023/oct/26/israel-hamas-war-live-eu-leaders-to-call-for-gaza-humanitarian-pause-biden-redoubles-efforts-on-two-state-solution,2023-10-27
article,Opinion,2023-10-27T06:00:38Z,Jean-Luc Mélenchon is a disaster for the French left – his response to the attack on Israel proves it | Alexander Hurst,https://www.theguardian.com/commentisfree/2023/oct/27/jean-luc-melenchon-french-left-israel-france,2023-10-27
liveblog,World news,2023-10-27T14:22:55Z,"EU leaders says eurozone has shown ‘remarkable resilience’ as they discuss Ukraine, migration and the economy – as it happened",https://www.theguardian.com/world/live/2023/oct/27/eu-leaders-summit-brussels-europe-live,2023-10-27
article,World news,2023-10-27T15:01:16Z,Emmanuel Macron condemns Viktor Orbán meeting with Vladimir Putin,https://www.theguardian.com/world/2023/oct/27/emmanuel-macron-condemns-viktor-orban-meeting-with-vladimir-putin,2023-10-27
liveblog,World news,2023-10-27T18:00:24Z,Russia-Ukraine war: Zelenskiy claims equivalent of Russian brigade lost near Avdiivka; Putin warns of weapon smuggling from Ukraine – as it happened,https://www.theguardian.com/world/live/2023/oct/27/russia-ukraine-war-live-russia-executing-soldiers-who-refuse-to-follow-orders-white-house-says,2023-10-27
article,World news,2023-10-28T00:03:52Z,Russia-Ukraine war at a glance: what we know on day 612,https://www.theguardian.com/world/2023/oct/28/russia-ukraine-war-at-a-glance-what-we-know-on-day-612,2023-10-28
liveblog,World news,2023-10-28T05:10:01Z,UN general assembly calls for immediate truce – as it happened,https://www.theguardian.com/world/live/2023/oct/27/israel-hamas-war-live-us-strikes-iran-linked-targets-in-syria-eu-calls-for-humanitarian-pauses-in-gaza,2023-10-28
liveblog,World news,2023-10-28T16:45:44Z,Russia-Ukraine war as it happened: Russian losses in recent offensive around Avdiivka ‘likely to be worst of 2023’,https://www.theguardian.com/world/live/2023/oct/28/russia-ukraine-war-live-zelenskiy-putin-latest-news-malta,2023-10-28
article,World news,2023-10-29T16:30:17Z,"Abortion rights will be in French constitution next year, Macron vows",https://www.theguardian.com/world/2023/oct/29/emmanuel-macron-to-enshrine-womens-right-to-abortion-in-france,2023-10-29
article,Australia news,2023-10-29T19:41:13Z,"Morning Mail: Assange’s brother’s plea to PM, rental squeeze worsens, stars mourn Matthew Perry",https://www.theguardian.com/australia-news/2023/oct/30/morning-mail-assanges-brothers-plea-to-pm-rental-squeeze-worsens-stars-mourn-matthew-perry,2023-10-29
article,World news,2023-10-29T20:33:28Z,Civil order ‘starting to break down’ in Gaza as people raid UN warehouses,https://www.theguardian.com/world/2023/oct/29/civil-order-starting-break-down-gaza-people-raid-un-warehouses,2023-10-29
liveblog,World news,2023-10-30T03:47:37Z,Further air and artillery strikes reported in northern Gaza – as it happened,https://www.theguardian.com/world/live/2023/oct/29/israel-hamas-war-live-netanyahu-declares-offensives-second-stage-gaza-internet-coming-back-online,2023-10-30
article,World news,2023-10-30T05:00:04Z,Funding plea for Parisian atelier where Modigliani and Gauguin worked,https://www.theguardian.com/world/2023/oct/30/funding-plea-for-parisian-atelier-where-modigliani-and-gaugin-worked,2023-10-30
article,Opinion,2023-10-30T08:00:08Z,Europe's chaotic response to the Israel-Hamas war reveals how weak it is – to its enemies' delight | Nathalie Tocci,https://www.theguardian.com/commentisfree/2023/oct/30/europe-war-middle-east-conflict-israel-eu,2023-10-30
article,World news,2023-10-30T08:02:09Z,UAE calls emergency UN security council meeting to seek pause to Gaza fighting,https://www.theguardian.com/world/2023/oct/29/uae-calls-emergency-un-security-council-meeting-to-seek-pause-to-gaza-fighting,2023-10-30
article,Technology,2023-10-30T17:41:48Z,Who is attending Sunak’s AI safety summit – and what will they discuss?,https://www.theguardian.com/technology/2023/oct/30/who-is-attending-sunaks-ai-safety-summit-and-what-will-they-discuss,2023-10-30
article,Technology,2023-10-30T20:00:21Z,Elon Musk to attend Rishi Sunak’s AI safety summit in Bletchley Park,https://www.theguardian.com/technology/2023/oct/30/no-10-fends-off-claims-rishi-sunak-being-snubbed-over-ai-safety-summit,2023-10-30
article,Books,2023-10-31T12:40:55Z,Publishing associations urge UK government to protect copyrighted works from AI,https://www.theguardian.com/books/2023/oct/31/publishing-associations-urge-uk-government-to-protect-copyrighted-works-from-ai,2023-10-31
article,World news,2023-10-31T14:52:21Z,French couple take dealer to court for share of African mask’s €4.2m sale price,https://www.theguardian.com/world/2023/oct/31/french-couple-go-to-court-for-share-of-rare-african-masks-sale-price,2023-10-31
article,Technology,2023-11-01T00:01:25Z,Nick Clegg compares AI clamour to ‘moral panic’ in 80s over video games,https://www.theguardian.com/technology/2023/nov/01/nick-clegg-ai-clamour-similar-moral-panic-video-games,2023-11-01
liveblog,World news,2023-11-01T16:28:10Z,Serbia’s president dissolves parliament and sets date for early legislative vote – as it happened ,https://www.theguardian.com/world/live/2023/nov/01/serbia-aleksandar-vucic-president-dissolves-parliament-kosovo-europe-latest-news,2023-11-01
article,World news,2023-11-01T17:14:52Z,Emmanuel Macron vows to boost French cooperation with Kazakhstan,https://www.theguardian.com/world/2023/nov/01/emmanuel-macron-vows-to-boost-french-cooperation-with-kazakhstan,2023-11-01
article,Technology,2023-11-02T16:55:00Z,Five takeaways from UK’s AI safety summit at Bletchley Park,https://www.theguardian.com/technology/2023/nov/02/five-takeaways-uk-ai-safety-summit-bletchley-park-rishi-sunak,2023-11-02
liveblog,World news,2023-11-02T18:55:21Z,Storm Ciarán: deaths reported across Europe while UK faces major disruption  –  as it happpened,https://www.theguardian.com/world/live/2023/nov/02/storm-ciaran-live-latest-updates-uk-weather-europe,2023-11-02
liveblog,World news,2023-11-03T05:06:32Z,WHO says ‘almost impossible’ to bring aid into Gaza – as it happened,https://www.theguardian.com/world/live/2023/nov/02/israel-hamas-war-live-updates-gaza-jabalia-refugee-camp-strikes-today-latest-news,2023-11-03
article,World news,2023-11-03T07:03:00Z,Friday briefing: What we learned at Rishi Sunak’s summit on the dangers of AI,https://www.theguardian.com/world/2023/nov/03/first-edition-ai-safety-summit-rishi-sunak-elon-musk,2023-11-03
article,World news,2023-11-04T05:00:29Z,What’s in a word? How less-gendered language is faring across Europe,https://www.theguardian.com/world/2023/nov/04/whats-in-a-word-how-less-gendered-language-is-faring-across-europe,2023-11-04
liveblog,World news,2023-11-04T05:00:30Z,UN says agency in Gaza ‘practically out of business’ – as it happened,https://www.theguardian.com/world/live/2023/nov/03/israel-hamas-war-live-updates-un-blinken-expected-call-for-pauses-fighting-allow-aid-gaza-tel-aviv-visit,2023-11-04
article,US news,2023-11-05T15:32:16Z,What happens to Gaza the day after the war ends? ,https://www.theguardian.com/us-news/2023/nov/05/what-happens-to-gaza-the-day-after-the-war-ends,2023-11-05
liveblog,World news,2023-11-07T15:59:02Z,EU asks for more information on Meloni’s move to send asylum seekers to Albania after ‘practically zero notice’ of deal – as it happened,https://www.theguardian.com/world/live/2023/nov/07/europe-latest-news-migration-italy-albania-germany-eu-giorgia-meloni-olaf-scholz,2023-11-07
article,World news,2023-11-08T10:00:19Z,‘Our farewell to Russia’: Ukraine takes one step closer to EU membership,https://www.theguardian.com/world/2023/nov/08/our-farewell-to-russia-ukraine-poised-to-take-step-closer-to-eu-membership,2023-11-08
article,World news,2023-11-09T04:34:33Z,"Northern Gaza exodus accelerating, says Israel, as WHO warns of disease risk",https://www.theguardian.com/world/2023/nov/09/israel-hamas-war-tens-thousands-palestinians-flee-gaza-military-who-disease-risk,2023-11-09
liveblog,World news,2023-11-09T04:48:40Z,US launches airstrike in response to attacks on bases housing US troops as Syrian state media reports strikes in south by Israel – as it happened,https://www.theguardian.com/world/live/2023/nov/08/israel-hamas-war-live-updates-biden-netanyahu-gaza-occupation-palestine,2023-11-09
article,World news,2023-11-09T12:39:27Z,Emmanuel Macron rejects Israeli plan for safe zones in southern Gaza,https://www.theguardian.com/world/2023/nov/09/emmanuel-macron-rejects-israeli-plan-for-safe-zones-in-southern-gaza,2023-11-09
article,World news,2023-11-09T21:59:59Z,Israel-Hamas war: what we know on day 34,https://www.theguardian.com/world/2023/nov/09/israel-hamas-war-what-we-know-on-day-34,2023-11-09
liveblog,World news,2023-11-10T03:39:16Z,Israel to start ‘pauses’ in fighting – as it happened,https://www.theguardian.com/world/live/2023/nov/09/israel-hamas-war-live-updates-who-disease-gaza-us-strikes-iran-site-syria,2023-11-10
article,World news,2023-11-10T20:33:13Z,"Gaza’s largest hospital being bombarded, WHO says",https://www.theguardian.com/world/2023/nov/10/netanyahu-says-israel-is-not-seeking-to-occupy-gaza,2023-11-10
article,World news,2023-11-11T01:55:22Z,Israel-Hamas war: what we know on day 36,https://www.theguardian.com/world/2023/nov/11/israel-hamas-war-what-we-know-on-day-36,2023-11-11
article,World news,2023-11-11T01:55:22Z,Israel-Hamas war: what we know on day 36,https://www.theguardian.com/world/2023/nov/11/israel-hamas-war-what-we-know-on-day-36,2023-11-11
liveblog,World news,2023-11-11T03:46:34Z,WHO says a child is killed every 10 minutes in Gaza – as it happened,https://www.theguardian.com/world/live/2023/nov/10/israel-hamas-war-live-updates-benjamin-netanyahu-gaza-fighting-pauses-un-palestine,2023-11-11
article,World news,2023-11-11T06:18:55Z,Macron calls for end to killing of civilians in Gaza as international pressure on Israel grows,https://www.theguardian.com/world/2023/nov/11/macron-calls-for-end-to-killing-of-civilians-in-gaza-as-international-pressure-on-israel-grows,2023-11-11
article,Politics,2023-11-11T18:15:58Z,Labour seen as more divided by voters after tension over conflict in Gaza,https://www.theguardian.com/politics/2023/nov/11/labour-seen-as-more-divided-by-voters-after-tension-over-conflict-gaza,2023-11-11
article,World news,2023-11-11T19:21:28Z,Israeli troops in key battle with Hamas gunmen near Gaza City hospital,https://www.theguardian.com/world/2023/nov/11/israeli-troops-battle-hamas-gunmen-gaza-city-hospital-idf-al-shifa-hospital,2023-11-11
liveblog,World news,2023-11-12T02:42:53Z,Israel-Hamas war: UN calls Gaza fighting ‘reprehensible’ – as it happened,https://www.theguardian.com/world/live/2023/nov/11/israel-hamas-war-live-staff-report-catastrophic-situation-in-main-gaza-hospital-aid-agency-says-as-fighting-intensifies,2023-11-12
article,Environment,2023-11-12T08:00:15Z,Emmanuel Macron pledges €1bn to fund research into melting ice caps,https://www.theguardian.com/environment/2023/nov/12/emmanuel-macron-pledges-1bn-to-fund-research-into-melting-ice-caps,2023-11-12
article,World news,2023-11-12T13:00:04Z,"Obsession, jealousies and Joséphine: has Ridley Scott’s new film captured the real Napoleon?",https://www.theguardian.com/world/2023/nov/12/ridley-scott-film-napoleon-bonaparte-josephine,2023-11-12
article,World news,2023-11-12T13:04:51Z,"French politicians join 100,000 at Paris march against antisemitism",https://www.theguardian.com/world/2023/nov/12/bitter-rows-among-french-politicians-over-paris-march-to-condemn-antisemitism,2023-11-12
article,World news,2023-11-12T13:37:38Z,Netanyahu sets out uncompromising postwar vision as Israel pounds Gaza,https://www.theguardian.com/world/2023/nov/12/main-gaza-hospital-totally-surrounded-director-says-as-netanyahu-rejects-ceasefire-calls,2023-11-12
liveblog,World news,2023-11-13T04:15:53Z,Aid groups urge attacks on healthcare centres to stop – as it happened,https://www.theguardian.com/world/live/2023/nov/12/israel-hamas-war-live-netanyahu-vows-to-press-on-with-full-force-as-fighting-rages-around-main-gaza-hospital,2023-11-13
article,Australia news,2023-11-13T07:28:57Z,Albanese says world must ‘distinguish between Hamas and Palestinian citizens’ amid pressure over response,https://www.theguardian.com/australia-news/2023/nov/13/albanese-hamas-palestinian-citizens-pressure-response,2023-11-13
liveblog,Australia news,2023-11-13T07:42:43Z,Local member issues warning after Caulfield protests – as it happened,https://www.theguardian.com/australia-news/live/2023/nov/13/australia-politics-live-monique-ryan-lobbyists-question-time-anthony-albanese-peter-dutton-cost-of-living-gaza,2023-11-13
article,Opinion,2023-11-13T19:00:24Z,The Guardian view on Gaza’s casualties: mounting calls for a ceasefire must be heeded,https://www.theguardian.com/commentisfree/2023/nov/13/the-guardian-view-on-gazas-casualties-mounting-calls-for-a-ceasefire-must-be-heeded,2023-11-13
liveblog,Politics,2023-11-13T20:45:27Z,David Cameron denies lobbying row should rule out return; Esther McVey made minister without portfolio – as it happened,https://www.theguardian.com/politics/live/2023/nov/13/suella-braverman-rishi-sunak-cabinet-reshuffle-conservatives-uk-politics-latest,2023-11-13
article,World news,2023-11-14T05:00:21Z,Pieter Omtzigt: centrist outsider who wants to remake Dutch politics in his own image,https://www.theguardian.com/world/2023/nov/14/pieter-omtzigt-centrist-outsider-who-wants-to-remake-dutch-politics-in-his-own-image,2023-11-14
article,Opinion,2023-11-14T12:00:35Z,"Ruthless, clever, pragmatic: why Giorgia Meloni is so dangerous to Italy – and Europe | Anne McElvoy",https://www.theguardian.com/commentisfree/2023/nov/14/giorgia-meloni-italy-europe-far-right,2023-11-14
liveblog,Australia news,2023-11-15T07:42:46Z,Teal MPs condemn opposition leader – as it happened,https://www.theguardian.com/australia-news/live/2023/nov/15/australia-news-politics-live-question-time-anthony-albanese-peter-dutton-cost-of-living-gaza-protest-scott-morrison-aukus-data-breaches,2023-11-15
article,World news,2023-11-15T11:19:46Z,State of emergency declared in parts of France after record rainfall,https://www.theguardian.com/world/2023/nov/15/state-of-emergency-declared-in-parts-of-france-after-record-rainfall,2023-11-15
article,World news,2023-11-15T19:32:44Z,Israel faces wave of international condemnation over hospital raid,https://www.theguardian.com/world/2023/nov/15/turkeys-erdogan-calls-israel-terror-state-as-he-condemns-gaza-hospital-raid,2023-11-15
article,World news,2023-11-16T18:04:51Z,EU foreign affairs chief tells Israel not to be ‘consumed by rage’ in response to Hamas attacks,https://www.theguardian.com/world/2023/nov/16/josep-borrell-israel-response-hamas-attacks-eu,2023-11-16
liveblog,World news,2023-11-17T01:29:52Z,Gaza civilians ‘face immediate possibility of starvation’ – as it happened,https://www.theguardian.com/world/live/2023/nov/16/israel-hamas-war-live-updates-biden-ceasefire-israel-criticises-un-humanitarian-pauses,2023-11-17
article,Opinion,2023-11-17T07:00:37Z,"Five years on, the world is failing to learn the gilets jaunes’ lesson about class and climate | Oliver Haynes",https://www.theguardian.com/commentisfree/2023/nov/17/five-years-gilets-jaunes-class-climate-ulez-london-heat-pumps-germany,2023-11-17
article,World news,2023-11-17T14:00:14Z,Emperor’s new clothes: why the French are ready to embrace Napoleon again,https://www.theguardian.com/world/2023/nov/17/emperors-new-clothes-why-the-french-are-ready-to-embrace-napoleon-again,2023-11-17
article,Technology,2023-11-18T01:13:57Z,OpenAI fires co-founder and CEO Sam Altman for allegedly lying to company board,https://www.theguardian.com/technology/2023/nov/17/openai-ceo-sam-altman-fired,2023-11-18
